Station,DATE,Average Wind Speed,Precipitation,Snowfall,Max Temperature
"LA GUARDIA AIRPORT, NY US",1/1/18,17,0,0,19
"LA GUARDIA AIRPORT, NY US",1/2/18,13.87,0,0,26
"LA GUARDIA AIRPORT, NY US",1/3/18,6.93,0,0,30
"LA GUARDIA AIRPORT, NY US",1/4/18,24.83,0.51,7.4,29
"LA GUARDIA AIRPORT, NY US",1/5/18,24.83,0,0,20
"LA GUARDIA AIRPORT, NY US",1/6/18,21.7,0,0,15
"LA GUARDIA AIRPORT, NY US",1/7/18,11.41,0,0,18
"LA GUARDIA AIRPORT, NY US",1/8/18,11.41,0,0,33
"LA GUARDIA AIRPORT, NY US",1/9/18,12.3,0,0,43
"LA GUARDIA AIRPORT, NY US",1/10/18,6.04,0,0,40
"LA GUARDIA AIRPORT, NY US",1/11/18,5.14,0,0,47
"LA GUARDIA AIRPORT, NY US",1/12/18,11.41,0.69,0,60
"LA GUARDIA AIRPORT, NY US",1/13/18,19.01,0.11,0,53
"LA GUARDIA AIRPORT, NY US",1/14/18,14.32,0,0,24
"LA GUARDIA AIRPORT, NY US",1/15/18,13.2,0,0,30
"LA GUARDIA AIRPORT, NY US",1/16/18,7.61,0,0,34
"LA GUARDIA AIRPORT, NY US",1/17/18,10.74,0.17,0.1,36
"LA GUARDIA AIRPORT, NY US",1/18/18,14.09,0,0,33
"LA GUARDIA AIRPORT, NY US",1/19/18,10.29,0,0,40
"LA GUARDIA AIRPORT, NY US",1/20/18,12.75,0,0,54
"LA GUARDIA AIRPORT, NY US",1/21/18,4.92,0,0,52
"LA GUARDIA AIRPORT, NY US",1/22/18,9.84,0,0,45
"LA GUARDIA AIRPORT, NY US",1/23/18,11.41,0.31,0,60
"LA GUARDIA AIRPORT, NY US",1/24/18,17,0,0,45
"LA GUARDIA AIRPORT, NY US",1/25/18,14.76,0,0,35
"LA GUARDIA AIRPORT, NY US",1/26/18,6.71,0,0,39
"LA GUARDIA AIRPORT, NY US",1/27/18,9.17,0,0,57
"LA GUARDIA AIRPORT, NY US",1/28/18,6.49,0.27,0,54
"LA GUARDIA AIRPORT, NY US",1/29/18,12.97,0,0,44
"LA GUARDIA AIRPORT, NY US",1/30/18,14.09,0.06,1.2,37
"LA GUARDIA AIRPORT, NY US",1/31/18,12.53,0,0,34
"LA GUARDIA AIRPORT, NY US",2/1/18,7.83,0.05,0,45
"LA GUARDIA AIRPORT, NY US",2/2/18,20.36,0.18,0,39
"LA GUARDIA AIRPORT, NY US",2/3/18,12.97,0,0,32
"LA GUARDIA AIRPORT, NY US",2/4/18,8.28,1.01,0,47
"LA GUARDIA AIRPORT, NY US",2/5/18,13.87,0,0,41
"LA GUARDIA AIRPORT, NY US",2/6/18,6.93,0,0,38
"LA GUARDIA AIRPORT, NY US",2/7/18,12.75,0.85,0.6,47
"LA GUARDIA AIRPORT, NY US",2/8/18,13.2,0,0,34
"LA GUARDIA AIRPORT, NY US",2/9/18,9.4,0,0,39
"LA GUARDIA AIRPORT, NY US",2/10/18,4.7,0.53,0,51
"LA GUARDIA AIRPORT, NY US",2/11/18,6.26,1.28,0,60
"LA GUARDIA AIRPORT, NY US",2/12/18,14.99,0,0,63
"LA GUARDIA AIRPORT, NY US",2/13/18,9.4,0,0,38
"LA GUARDIA AIRPORT, NY US",2/14/18,8.05,0.1,0,54
"LA GUARDIA AIRPORT, NY US",2/15/18,7.83,0.14,0,61
"LA GUARDIA AIRPORT, NY US",2/16/18,13.65,0.11,0,59
"LA GUARDIA AIRPORT, NY US",2/17/18,9.62,0.6,3.9,39
"LA GUARDIA AIRPORT, NY US",2/18/18,9.4,0.02,0.1,45
"LA GUARDIA AIRPORT, NY US",2/19/18,6.71,0.03,0,49
"LA GUARDIA AIRPORT, NY US",2/20/18,8.28,0,0,70
"LA GUARDIA AIRPORT, NY US",2/21/18,10.29,0.02,0,79
